# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = model
# start_datetime = 2022-12-26 19:45:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/andrew/Library/R/arm64/4.2/library/CmdStanHeaders/examples/bernoulli.data.json
# init = 2 (Default)
# random
#   seed = 1461824762 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   log_prob_output_file = log_prob_output.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = --O0
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.12279
# Diagonal elements of inverse mass matrix:
# 0.459917
-8.45821,0.800166,1.12279,2,3,0,8.6122,0.51144
-6.86804,1,1.12279,1,1,0,7.81799,0.314296
-6.85143,1,1.12279,1,1,0,6.89679,0.309495
-6.89137,0.985127,1.12279,1,1,0,6.9239,0.320544
-6.86347,1,1.12279,1,1,0,6.91911,0.313006
-6.86347,0.693728,1.12279,1,1,0,7.42303,0.313006
-6.86347,0.435964,1.12279,1,1,0,8.06927,0.313006
-6.84865,1,1.12279,1,1,0,6.89205,0.308657
-6.77937,0.991415,1.12279,1,3,0,6.88856,0.219603
-7.25379,0.892445,1.12279,2,3,0,7.52595,0.140179
-8.6433,0.905264,1.12279,2,3,0,9.44774,0.525774
-8.45416,1,1.12279,1,1,0,9.26069,0.511117
-7.31063,0.834714,1.12279,1,3,0,9.25354,0.135173
-7.09811,1,1.12279,1,1,0,7.30997,0.156236
-7.11769,0.995546,1.12279,1,1,0,7.20425,0.153982
-6.75165,0.980657,1.12279,1,3,0,7.08769,0.260751
-6.75124,0.906743,1.12279,2,3,0,7.1664,0.260114
-6.78636,0.992526,1.12279,2,3,0,6.79626,0.216495
-6.76624,1,1.12279,1,1,0,6.78317,0.226663
-8.94119,0.668709,1.12279,2,3,0,9.19008,0.0614036
-8.93506,1,1.12279,1,1,0,9.30872,0.0615598
-8.93506,0.966982,1.12279,1,1,0,9.49996,0.0615598
-6.87221,0.938978,1.12279,1,3,0,8.77942,0.191404
-6.79662,0.844219,1.12279,2,3,0,7.79629,0.290249
-6.7955,0.819807,1.12279,2,3,0,7.56293,0.212861
-6.7891,0.978747,1.12279,2,3,0,6.92669,0.215362
-6.7496,0.995204,1.12279,2,3,0,6.81688,0.243019
-6.92586,0.917642,1.12279,2,3,0,7.16506,0.180813
-7.29515,0.907431,1.12279,1,3,0,7.58394,0.393038
-6.94326,1,1.12279,1,1,0,7.20307,0.33294
-6.77437,0.992452,1.12279,1,3,0,6.9581,0.222065
-6.74919,0.81823,1.12279,2,3,0,7.7671,0.256077
-6.89188,0.960736,1.12279,1,3,0,6.92083,0.187257
-6.75942,0.985797,1.12279,2,3,0,6.92614,0.269186
-7.09755,0.901721,1.12279,1,3,0,7.21011,0.156301
-10.3105,0.600755,1.12279,1,3,0,10.948,0.0358942
-9.23395,1,1.12279,1,1,0,10.3097,0.05448
-8.30473,1,1.12279,1,1,0,9.1867,0.0808318
-6.76486,1,1.12279,2,3,0,7.96582,0.273396
-6.76219,1,1.12279,1,1,0,6.76835,0.271428
-7.46126,0.821591,1.12279,1,3,0,7.46547,0.414697
-7.14442,1,1.12279,2,3,0,7.34581,0.15103
-6.75067,0.99203,1.12279,1,3,0,7.07219,0.240972
-7.26989,0.572238,1.12279,2,3,0,9.0082,0.38949
-6.9302,1,1.12279,1,1,0,7.17893,0.329981
-8.16684,0.6021,1.12279,1,1,0,8.19123,0.487092
-6.94647,1,1.12279,1,1,0,7.69406,0.333655
-8.41891,0.467614,1.12279,2,3,0,9.64514,0.0767975
-6.77732,0.895013,1.12279,2,3,0,9.65777,0.281037
-7.59189,0.744709,1.12279,2,3,0,8.11677,0.114755
-7.49052,1,1.12279,2,3,0,7.71599,0.121421
-6.75327,1,1.12279,2,3,0,7.39128,0.262952
-8.66606,0.591398,1.12279,1,3,0,8.6926,0.527484
-8.01698,1,1.12279,1,1,0,8.86839,0.473559
-7.06149,0.988107,1.12279,2,3,0,8.44645,0.16068
-6.87472,0.947463,1.12279,2,3,0,7.83879,0.190854
-6.99681,0.961299,1.12279,2,3,0,7.21409,0.344223
-6.75483,0.665801,1.12279,2,3,0,8.31212,0.264767
-7.02441,0.928359,1.12279,1,3,0,7.02693,0.349602
-6.91288,1,1.12279,1,1,0,7.03096,0.325898
-6.91288,0.630278,1.12279,1,1,0,7.60416,0.325898
-10.4994,0.22455,1.12279,1,1,0,10.5021,0.638303
-6.90112,1,1.12279,1,3,0,9.76828,0.185424
-7.26287,0.971962,1.12279,2,3,0,7.26456,0.139354
-7.86269,0.893629,1.12279,1,1,0,7.88025,0.0996664
-6.90089,1,1.12279,1,3,0,7.67215,0.185468
-6.78935,1,1.12279,2,3,0,6.87084,0.287031
-6.79141,0.999755,1.12279,2,3,0,6.80543,0.28797
-6.79798,0.810419,1.12279,2,3,0,7.60568,0.211942
